Description,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,Style_ID,TrimName
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BES00,2024,449710,4,4dr Car,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPR00,2024,449711,4,4dr Car,Preferred
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BPRTE,2024,449712,4,4dr Car,Preferred
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLU00,2024,449713,4,4dr Car,Luxury
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4V2BLUME,2024,449714,4,4dr Car,Luxury
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4U1ANLUL,2024,449715,4,4dr Car,N Line Ultimate
Luxury Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHE,2024,449812,4,4dr Car,Luxury
Luxury Dct W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,ELHS4T1BLUHM,2024,449813,4,4dr Car,Luxury
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS472ANN00,2024,456372,4,4dr Car,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,ELCS4M2ANN00,2024,456373,4,4dr Car,
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I5EW5ZE4PRLR,2024,449830,4,Sport Utility,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRLR,2024,449831,4,Sport Utility,Preferred
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRUP,2024,449832,4,Sport Utility,Preferred
Preferred Awd Long Range W/luxury Package *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,I5EW5ZE2PRLP,2024,449833,4,Sport Utility,Preferred
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,I6ES4ZE4PRLR,2024,449183,4,4dr Car,Preferred
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRLR,2024,449184,4,4dr Car,Preferred
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,I6ES4ZE2PRUP,2024,449185,4,4dr Car,Preferred
Preferred Rwd Long Range W/ultimate Package,REAR_WHEEL_DRIVE,HYUNDAI,I6ES4ZE4PRUP,2024,449186,4,4dr Car,Preferred
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BES00,2024,446865,4,Sport Utility,Essential
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KOCW5V2BPR00,2024,446866,4,Sport Utility,Preferred
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BES00,2024,446867,4,Sport Utility,Essential
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPR00,2024,446868,4,Sport Utility,Preferred
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5Q2BPRTR,2024,446869,4,Sport Utility,Preferred
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANL00,2024,446870,4,Sport Utility,N Line
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLTT,2024,446871,4,Sport Utility,N Line
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLUL,2024,446872,4,Sport Utility,N Line Ultimate
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,KOCW5K1ANLBA,2024,446887,4,Sport Utility,N Line Ultimate
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PR00,2024,451911,4,Sport Utility,Preferred
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4UL00,2024,451912,4,Sport Utility,Ultimate
Ultimate Fwd W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4ULTT,2024,451913,4,Sport Utility,Ultimate
Ultimate Fwd W/sage-Green Interior,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4ULBF,2024,451914,4,Sport Utility,Ultimate
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NXFW5ZH1PR00,2024,452614,4,Sport Utility,Preferred
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NXFW5ZH1UL00,2024,452615,4,Sport Utility,Ultimate
Preferred 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3DPR00,2024,443076,4,Sport Utility,Preferred
Urban 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3DUR00,2024,443077,4,Sport Utility,Urban
Urban 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DUR91,2024,443078,4,Sport Utility,Urban
Ultimate Calligraphy 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULC7,2024,443079,4,Sport Utility,Ultimate Calligraphy
Ultimate Calligraphy W/beige 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3DULCB,2024,443080,4,Sport Utility,Ultimate Calligraphy
Preferred Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPR00,2024,445090,4,Crew Cab Pickup,Preferred
Trend Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPRTR,2024,445091,4,Crew Cab Pickup,Trend
Ultimate Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL00,2024,445092,4,Crew Cab Pickup,Ultimate
Ultimate Awd W/colour Package *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL95,2024,445093,4,Crew Cab Pickup,Ultimate
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPRBB,2024,452018,4,Crew Cab Pickup,Preferred
Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPRBC,2024,452019,4,Crew Cab Pickup,Trend
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DULBB,2024,452020,4,Crew Cab Pickup,Ultimate
Ultimate Awd W/colour Package,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DULBD,2024,452021,4,Crew Cab Pickup,Ultimate
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBG,2024,454772,4,Sport Utility,Ultimate Calligraphy
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DXR00,2024,454773,4,Sport Utility,XRT
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DLU00,2024,454774,4,Sport Utility,Luxury
Ultimate Calligraphy Awd W/beige Interior,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBH,2024,454775,4,Sport Utility,Ultimate Calligraphy
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRHE,2024,454776,4,Sport Utility,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRTH,2024,454777,4,Sport Utility,Preferred
Ultimate Calligraphy Nhl Special Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,SAHW6G1AULCS,2024,458472,4,Sport Utility,Ultimate Calligraphy NHL Special Edition
2.5l Preferred-Trend Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4J2EPRTR,2024,452616,4,4dr Car,Preferred-Trend
2.5t N-Line Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4M2DNL00,2024,452617,4,4dr Car,N Line Ultimate
2.5l Preferred-Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,SOCS4K2EPRTR,2024,452618,4,4dr Car,Preferred-Trend
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPR00,2024,446281,4,Sport Utility,Preferred
Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPRTR,2024,446282,4,Sport Utility,Trend
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ALUHE,2024,446278,4,Sport Utility,Luxury
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1AULHE,2024,446279,4,Sport Utility,Ultimate
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ANLHE,2024,446280,4,Sport Utility,N-Line
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,TUPWDG1AULPH,2024,446277,4,Sport Utility,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FES00,2024,449815,4,Sport Utility,Essential
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FESTT,2024,449816,4,Sport Utility,Essential
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPR00,2024,449817,4,Sport Utility,Preferred
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPRTT,2024,449818,4,Sport Utility,Preferred
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FUL00,2024,449819,4,Sport Utility,Ultimate
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FULCP,2024,449820,4,Sport Utility,Ultimate
